employee_id,employee_name,employment_status,current_location,termination_date,transfer_effective_date,hr_record_updated
E0001,Priya Shah,Active,Chicago,,,2026-08-05
E0002,Marcus Ellison,Active,Dallas,,,2026-08-05
E0003,Elena Kovacs,Active,Denver,,,2026-08-05
E0004,James Whitaker,Active,New York,,,2026-08-05
E0005,Aisha Rahman,Active,Seattle,,,2026-08-05
E0006,Colin Bergstrom,Active,Atlanta,,,2026-08-05
E0007,Sofia Alvarez,Active,Chicago,,,2026-08-05
E0008,Derek Nguyen,Active,Dallas,,,2026-08-05
E0009,Hannah Cole,Active,Denver,,,2026-08-05
E0010,Owen Patel,Active,New York,,,2026-08-05
E0011,Maya Fontaine,Active,Seattle,,,2026-08-05
E0012,Ryan Okonkwo,Active,Atlanta,,,2026-08-05
E0013,Lauren Briggs,Active,Chicago,,,2026-08-05
E0014,Nathan Kim,Active,Dallas,,,2026-08-05
E0015,Camila Ortiz,Active,Denver,,,2026-08-05
E0016,Patrick Gallagher,Active,New York,,,2026-08-05
E0017,Irene Cho,Active,Seattle,,,2026-08-05
E0018,Theo Barnett,Active,Atlanta,,,2026-08-05
E0019,Jasmine Reed,Active,Chicago,,,2026-08-05
E0020,Luis Navarro,Active,Dallas,,,2026-08-05
E0021,Grace Lindholm,Active,Denver,,,2026-08-05
E0022,Andre Baptiste,Active,New York,,,2026-08-05
E0023,Nina Kowalski,Active,Seattle,,,2026-08-05
E0024,Chris Daley,Active,Atlanta,,,2026-08-05
E0025,Fatima Hussein,Active,Chicago,,,2026-08-05
E0026,Brendan Walsh,Active,Dallas,,,2026-08-05
E0027,Yuki Tanaka,Active,Denver,,,2026-08-05
E0028,Megan Copeland,Active,New York,,,2026-08-05
E0029,Omar Haddad,Active,Seattle,,,2026-08-05
E0030,Stephanie Ruiz,Active,Atlanta,,,2026-08-05
E0031,Keith Moreau,Active,Chicago,,,2026-08-05
E0032,Diana Voss,Active,Dallas,,,2026-08-05
E0033,Jordan Blake,Active,Denver,,,2026-08-05
E0034,Amelia Grant,Active,New York,,,2026-08-05
E0035,Rafael Mendes,Active,Seattle,,,2026-08-05
E0036,Kate Sorenson,Active,Atlanta,,,2026-08-05
E0037,Victor Lang,Active,Chicago,,,2026-08-05
E0038,Noelle Harper,Active,Dallas,,,2026-08-05
E0039,Samir Kapoor,Active,Denver,,,2026-08-05
E0040,Holly Jensen,Active,New York,,,2026-08-05
